data-revisit-plants_info-on-date_tagged,data-revisit-plants_info-site_code_tagged,tag.no,sci.name,data-revisit-plants_info-deadalive,data-revisit-plants_info-height,data-revisit-plants_info-rcd,data-revisit-plants_info-yes_no1,data-revisit-plants_info-disturbance,data-revisit-plants_info-flame_h,data-revisit-plants_info-yes_no,data-revisit-plants_info-spot,data-revisit-plants_info-photo_bud,PARENT_KEY,KEY
2021-05-30T09:49:00.000+05:30,APA12-bodha_grass_removed_no_fire,4911,Erythroxylum monogynum,alive,47,1.9,yes,fire,60,yes,epicormic,https://drive.google.com/open?id=1xJfN_fm_BszlO_lsr61FOi2CAZxo3Bi5,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2/revisit[6]
2021-05-30T09:49:00.000+05:30,APA12-bodha_grass_removed_no_fire,4913,Unknown,alive,100,1.1,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=1jKy85-tGBzq0BgCgHtICxmTYWb5cJ__J,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2/revisit[7]
2021-05-30T09:49:00.000+05:30,APA12-bodha_grass_removed_no_fire,4912,Azadirachata indica,alive,12,0.7,yes,fire,100,yes,collar,https://drive.google.com/open?id=1Kf-4Wmb9M8mpK5TAUmgKrvfqMsb61spx,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2/revisit[8]
2021-05-30T09:49:00.000+05:30,APA12-bodha_grass_removed_no_fire,4910,Azadirachata indica,alive,54,1.5,yes,fire,80,yes,collar,https://drive.google.com/open?id=1UfnsLINd19zFo7uBkrMmdSetwIyIlDW3,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2,uuid:39e209fb-a28e-4590-adb5-35cc4ed20ce2/revisit[9]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4951,Dolichandrone atrovirens,alive,40,0.9,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=1dYiEm3dWu0MzWmgzcsGcX9Z0duIe8gWA,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[1]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4950,Wrightia tinctoria,alive,135,2.4,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=1njl2qfUqNj4HnjFrwqi2pjblbp05u6DF,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[2]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4949,Dalbergia paniculata,alive,110,2.1,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=1kCmK7o_9zqrPUm1HIrJrK6fRlD9tAiFx,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[3]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4927,Premna tomentosa,alive,200,3.3,no, , ,yes,axillary,https://drive.google.com/open?id=11WQJmexBkPfY0Yn6Rr3vwzCc6pFcwABi,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[4]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4928,Premna tomentosa,alive,140,2.1,no, , ,yes,axillary,https://drive.google.com/open?id=10aZdzxP_4YrB307qTF3o1aZj3fBJYb30,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[5]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4945,Dalbergia paniculata,alive,50,0.9,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=16M0eIeep-Hn2WQkn9oW5QwOYa7oGI0tT,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[6]
