,site,village,treatment,tag.no,sci.name,dead.alive,height,rcd,disturbance,flame.height,type.resprout
218,APC1_CAFA,APC1,CAFA,1002,Ziziphus mauritiana,alive,85,1.8,trampled,0,collar
219,APC1_CAFA,APC1,CAFA,1006,Tectona grandis,alive,8,1.3,browsed,0,epicormic
220,APC1_CAFA,APC1,CAFA,1005,Dolichandrone atrovirens,alive,89,2.2,browsed,0,axillary
221,APC1_CAFA,APC1,CAFA,1003,Tectona grandis,alive,14,1.5,browsed,0,epicormic
222,APC1_CAFA,APC1,CAFA,1020,Dolichandrone atrovirens,alive,80,2.3,browsed,0,axillary
223,APC1_CAFA,APC1,CAFA,1015,Dolichandrone atrovirens,alive,115,2.7,browsed,0,axillary
224,APC1_CAFA,APC1,CAFA,1016,Dolichandrone atrovirens,alive,160,4.6,browsed,0,axillary
225,APC1_CAFA,APC1,CAFA,1017,Tectona grandis,alive,60,1.5,browsed,0,axillary
226,APC1_CAFA,APC1,CAFA,1014,Tectona grandis,alive,25,1.3,browsed,0,epicormic
227,APC1_CAFA,APC1,CAFA,1012,Dolichandrone atrovirens,alive,27,1.2,none,0,regular_growth
228,APC1_CAFA,APC1,CAFA,1011,Tectona grandis,alive,80,1.9,trampled,0,axillary
229,APC1_CAFA,APC1,CAFA,1008,Dolichandrone atrovirens,alive,73,2.7,drought,0,axillary
230,APC1_CAFA,APC1,CAFA,1007,Syzygium cumini,alive,98,2.1,trampled,0,axillary
231,APC1_CAFA,APC1,CAFA,1027,Tectona grandis,alive,10,1.5,browsed,0,epicormic
232,APC1_CAFA,APC1,CAFA,1028,Tectona grandis,alive,26,2.1,browsed,0,epicormic
233,APC1_CAFA,APC1,CAFA,1030,Dolichandrone atrovirens,alive,30,1.5,drought,0,epicormic
234,APC1_CAFA,APC1,CAFA,1010,Holoptelia intergrifolia,dead,NA,NA,trampled,0,NA
235,APC1_CAFA,APC1,CAFA,1021,Tectona grandis,alive,20,1.7,browsed,0,epicormic
236,APC1_CAFA,APC1,CAFA,1009,Dolichandrone atrovirens,alive,7,3.1,trampled,0,epicormic
237,APC1_CAFA,APC1,CAFA,1034,Tectona grandis,alive,75,1.5,trampled,0,axillary
238,APC1_CAFA,APC1,CAFA,1035,Tectona grandis,alive,51,2.5,trampled,0,axillary
239,APC1_CAFA,APC1,CAFA,1022,Tectona grandis,alive,62,1.7,browsed,0,axillary
240,APC1_CAFA,APC1,CAFA,1045,Tectona grandis,alive,70,1.8,browsed,0,axillary
241,APC1_CAFA,APC1,CAFA,1025,Tectona grandis,alive,44,1.7,browsed,0,axillary
242,APC1_CAFA,APC1,CAFA,1049,Tectona grandis,alive,28,1.3,browsed,0,axillary
243,APC1_CAFA,APC1,CAFA,1023,Tectona grandis,alive,40,1.1,trampled,0,axillary
244,APC1_CAFA,APC1,CAFA,1036,Tectona grandis,alive,70,2.5,browsed,0,axillary
245,APC1_CAFA,APC1,CAFA,1024,Holoptelia intergrifolia,alive,30,0.9,browsed,0,epicormic
246,APC1_CAFA,APC1,CAFA,1048,Holoptelia intergrifolia,dead,NA,NA,trampled,0,NA
247,APC1_CAFA,APC1,CAFA,1047,Holoptelia intergrifolia,alive,38,1.1,trampled,0,axillary
248,APC1_CAFA,APC1,CAFA,1033,Holoptelia intergrifolia,dead,NA,NA,trampled,0,NA
249,APC1_CAFA,APC1,CAFA,1031,Tectona grandis,alive,20,1.6,trampled,0,collar
250,APC1_CAFA,APC1,CAFA,1032,Tectona grandis,alive,35,1.4,drought,0,axillary
251,APC1_CAFA,APC1,CAFA,1039,Dolichandrone atrovirens,alive,36,1.9,trampled,0,epicormic
252,APC1_CAFA,APC1,CAFA,1040,Tectona grandis,alive,42,2.2,trampled,0,axillary
253,APC1_CAFA,APC1,CAFA,1044,Tectona grandis,alive,100,2.6,drought,0,axillary
254,APC1_CAFA,APC1,CAFA,1043,Tectona grandis,alive,70,1.9,browsed,0,axillary
255,APC1_CAFA,APC1,CAFA,1057,Tectona grandis,alive,44,1.2,drought,0,axillary
256,APC1_CAFA,APC1,CAFA,1056,Tectona grandis,alive,78,2.1,browsed,0,epicormic
257,APC1_CAFA,APC1,CAFA,1055,Tectona grandis,alive,46,1.6,browsed,0,axillary
258,APC1_CAFA,APC1,CAFA,1052,Tectona grandis,alive,16,1.9,browsed,0,collar
259,APC1_CAFA,APC1,CAFA,1053,Tectona grandis,alive,50,1.9,browsed,0,axillary
260,APC1_CAFA,APC1,CAFA,1054,Tectona grandis,alive,16,1.1,browsed,0,epicormic
261,APC1_CAFA,APC1,CAFA,1059,Tectona grandis,alive,25,1.4,browsed,0,axillary
262,APC1_CAFA,APC1,CAFA,1058,Tectona grandis,alive,32,1.6,browsed,0,axillary
263,APC1_CAFA,APC1,CAFA,1051,Tectona grandis,alive,20,1.1,browsed,0,axillary
