site_code,sapling_name,sapling_tag_no,treatment,type_recruit,Note on revisit,sapling_coordinate,sapling_altitude,sapling_coordinate-accuracy,sapling_height (cm),sapling_rcd (cm),sapling_line_to_sapling (m),sapling_to_sapling (m),sapling_disturbance,PARENT_KEY,KEY,site
APC12,Acacia chundra,4675,bodha_grass_removed_no_fire,seedling recruitment,,"13.89375902,78.41328801",438.1040649,3.216,90,1.7,4.5,4,none,uuid:70a61ec4-f34d-4439-bcfa-cfd967f07df4,uuid:70a61ec4-f34d-4439-bcfa-cfd967f07df4/sapling_repeat[18],APC12bodha_grass_removed_no_fire
APC7,Dolichandrone atrovirens,4558,bodha_grass_removed_no_fire,seedling recruitment,,"13.94029685,78.49542394",465,4.288,90,1.7,1,0.9,none,uuid:d77f3969-5887-4716-bd14-d969a8ab9752,uuid:d77f3969-5887-4716-bd14-d969a8ab9752/sapling_repeat[9],APC7bodha_grass_removed_no_fire
APA17,Acacia chundra,4739,bodha_grass_present_no_fire,clonal offspring,,"14.11815193,78.33377573",397.0795898,3.216,90,1.8,7,10,none,uuid:02f207ad-3edd-4db8-8f20-abc63430a887,uuid:02f207ad-3edd-4db8-8f20-abc63430a887/sapling_repeat[4],APA17bodha_grass_present_no_fire
APC1,Dolichandrone atrovirens,1408,all_burnt,clonal offspring,,"13.85276864,78.44247787",473.8406982,4.288,90,1.8,4,6.5,none,uuid:82f8ef67-d9ae-4212-b3bc-98cd770c64fc,uuid:82f8ef67-d9ae-4212-b3bc-98cd770c64fc/sapling_repeat[9],APC1all_burnt
APA15,Wrightia tinctoria,3871,bodha_grass_present_no_fire,clonal offspring,,"14.07263248,78.36363974",409,4.288,90,1.9,3,0,none,uuid:e5a70f6f-46f5-47f8-a9d9-0f855653ec2d,uuid:e5a70f6f-46f5-47f8-a9d9-0f855653ec2d/sapling_repeat[2],APA15bodha_grass_present_no_fire
APA6,Holoptelia intergrifolia,3957,bodha_grass_removed_no_fire,seedling recruitment,,"14.0302022,78.38464939",401,4.288,90,1.9,0,1,none,uuid:e01b95cd-a2c1-47a3-ad71-a041a1301be3,uuid:e01b95cd-a2c1-47a3-ad71-a041a1301be3/sapling_repeat[2],APA6bodha_grass_removed_no_fire
APC7,Dolichandrone atrovirens,4555,bodha_grass_removed_no_fire,seedling recruitment,,"13.94021201,78.49544936",474,4.288,90,2.1,2,1.6,none,uuid:d77f3969-5887-4716-bd14-d969a8ab9752,uuid:d77f3969-5887-4716-bd14-d969a8ab9752/sapling_repeat[12],APC7bodha_grass_removed_no_fire
APA17,Dolichandrone atrovirens,4738,bodha_grass_present_no_fire,seedling recruitment,,"14.11824334,78.33376724",392.4125977,4.288,90,2.2,1,10,none,uuid:02f207ad-3edd-4db8-8f20-abc63430a887,uuid:02f207ad-3edd-4db8-8f20-abc63430a887/sapling_repeat[5],APA17bodha_grass_present_no_fire
APC1,Dolichandrone atrovirens,1406,all_burnt,clonal offspring,from an old sapling,"13.85300688,78.44266937",502.2700195,4.288,90,2.2,3,10,none,uuid:82f8ef67-d9ae-4212-b3bc-98cd770c64fc,uuid:82f8ef67-d9ae-4212-b3bc-98cd770c64fc/sapling_repeat[7],APC1all_burnt
APC2,Tectona grandis,3737,bodha_grass_removed_no_fire,seedling recruitment,,"13.89542321,78.47717073",424,4.288,90,2.2,3,1,none,uuid:bcf824e4-8cc6-43d5-8793-f9088bf2ffad,uuid:bcf824e4-8cc6-43d5-8793-f9088bf2ffad/sapling_repeat[5],APC2bodha_grass_removed_no_fire
APC6,Dolichandrone atrovirens,1393,bodha_grass_removed_no_fire,seedling recruitment,,"13.93970242,78.49313342",459,4.288,90,2.4,6.3,0.5,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[5],APC6bodha_grass_removed_no_fire
APA17,Dolichandrone atrovirens,4740,bodha_grass_present_no_fire,seedling recruitment,,"14.1181866,78.33391041",384.5213013,4.288,90,2.5,8,0,none,uuid:02f207ad-3edd-4db8-8f20-abc63430a887,uuid:02f207ad-3edd-4db8-8f20-abc63430a887/sapling_repeat[3],APA17bodha_grass_present_no_fire
APC11,Dolichandrone atrovirens,4609,all_burnt,clonal offspring,from an old sapling,"13.83766606,78.41065047",505.4089355,4.288,90,2.6,1,3,none,uuid:a87bc91e-a1aa-46de-a276-50289305c340,uuid:a87bc91e-a1aa-46de-a276-50289305c340/sapling_repeat[4],APC11all_burnt
