"","site","village","sci.name","tag.no","treatment","recruit.type","height","rcd","lat","long","altitude","disturbance"
"249","APA17_CAFA","APA17","Acacia chundra",4744,"CAFA","clonal offspring",68,0.8,"14.11821795","78.3350133",422.6325684,"none"
"250","APC2_CAFA","APC2","Dalbergia paniculata",3739,"CAFA","seedling recruitment",68,0.8,"13.89513792","78.47731169",442,"none"
"251","APA21_CAFA","APA21","Dalbergia paniculata",4948,"CAFA","clonal offspring",68,0.9,"14.00862586","78.32089424",487.5647583,"none"
"252","APA21_CAFA","APA21","Dalbergia paniculata",4933,"CAFA","clonal offspring",68,1.1,"14.00884163","78.32025668",546.8468018,"none"
"253","APC11_CAFA","APC11","Dolichandrone atrovirens",4601,"CAFA","seedling recruitment",68,1.2,"13.83867807","78.41078401",528.704834,"none"
"254","APC5_CAFA","APC5","Premna tomentosa",1331,"CAFA","clonal offspring",68,1.3,"13.80557358","78.41426365",491.137085,"none"
"255","APC4_CAFA","APC4","Dolichandrone atrovirens",1432,"CAFA","seedling recruitment",68,1.4,"13.8435665","78.42083989",464.0689697,"none"
"256","APA15_CPFA","APA15","Wrightia tinctoria",3872,"CPFA","seedling recruitment",68,1.5,"14.07236","78.36359375",400,"none"
"257","APC12_CAFA","APC12","Acacia chundra",4663,"CAFA","clonal offspring",68,1.5,"13.89434298","78.41317732",410.605896,"none"
"258","APC4_CAFA","APC4","Dolichandrone atrovirens",1418,"CAFA","seedling recruitment",68,1.6,"13.84348048","78.42181466",470.6339111,"none"
"259","APC4_CAFA","APC4","Dolichandrone atrovirens",1431,"CAFA","seedling recruitment",68,1.7,"13.84351289","78.4210447",473.9798584,"none"
"260","APC6_CAFA","APC6","Dolichandrone atrovirens",1337,"CAFA","seedling recruitment",68,2,"13.93972914","78.49322892",466,"none"
"261","APC6_CAFA","APC6","Dolichandrone atrovirens",1328,"CAFA","seedling recruitment",68,2.7,"13.93983532","78.4936894",464,"none"
"262","APA7_CPFA","APA7","Dolichandrone atrovirens",3927,"CPFA","clonal offspring",67,1.4,"14.02166734","78.37978911",454,"none"
"263","APC3_Control","APC3","Azadirachata indica",1313,"Control","clonal offspring",66,0.8,"13.82792196","78.41317413",464.8465576,"none"
"264","APC8_CAFA","APC8","Pongamia pinnata",3725,"CAFA","seedling recruitment",66,0.8,"13.87353197","78.52802219",445,"none"
"265","APC5_CAFA","APC5","Dolichandrone atrovirens",1339,"CAFA","seedling recruitment",66,1.3,"13.80532923","78.41402541",505.8345947,"none"
"266","APC6_CAFA","APC6","Dolichandrone atrovirens",1307,"CAFA","seedling recruitment",66,1.4,"13.93973563","78.49327719",469,"none"
"267","APC6_CAFA","APC6","Dolichandrone atrovirens",1388,"CAFA","seedling recruitment",66,1.5,"13.93970768","78.49313961",456,"none"
"268","APA19_Control","APA19","Dolichandrone atrovirens",1047,"Control","clonal offspring",66,1.9,"14.061548333333333","78.34231",564.3,"none"
"269","APC4_CAFA","APC4","Dolichandrone atrovirens",1426,"CAFA","seedling recruitment",66,1.9,"13.8435632","78.42139856",484.8971558,"none"
"270","APC6_CAFA","APC6","Dolichandrone atrovirens",1389,"CAFA","seedling recruitment",66,1.9,"13.93970171","78.493149",460,"none"
"271","APA16_CAFA","APA16","Acacia chundra",4781,"CAFA","seedling recruitment",65,0.5,"14.11628876","78.34033768",395.1466064,"none"
"272","APA17_CAFA","APA17","Acacia chundra",4753,"CAFA","seedling recruitment",65,0.6,"14.1185134","78.33443341",403.1229858,"none"
"273","APA21_CPFA","APA21","Erythroxylum monogynum",4923,"CPFA","clonal offspring",65,0.6,"14.00914552","78.32014771",521.1751099,"none"
"274","APA1_Control","APA1","Dalbergia paniculata",1180,"Control","clonal offspring",65,0.7,"14.073386666666666","78.32057",544.4,"browsed"
"275","APC3_CAFA","APC3","Acacia chundra",1469,"CAFA","seedling recruitment",65,0.7,"13.82874895","78.41306176",468.998291,"none"
"276","APC12_CPFA","APC12","Acacia chundra",4682,"CPFA","seedling recruitment",65,0.8,"13.89253436","78.41353992",443,"none"
"277","APA19_CAFA","APA19","Chloroxylon swietenia",1021,"CAFA","seedling recruitment",65,0.9,"14.051364999999999","78.32454",589,"none"
"278","APC11_CAFA","APC11","Dolichandrone atrovirens",1397,"CAFA","seedling recruitment",65,1.1,"13.83892338","78.41071902",529.7615967,"none"
"279","APC1_CAFA","APC1","Tectona grandis",1006,"CAFA","seedling recruitment",65,1.1,"13.8488444","78.42894411",452,"none"
"280","APC7_CPFA","APC7","Chloroxylon swietenia",3707,"CPFA","seedling recruitment",65,1.3,"13.94239443","78.50765322",410,"none"
"281","APA5_CAFA","APA5","Ziziphus mauritiana",3863,"CAFA","clonal offspring",65,1.4,"14.06352383","78.35492269",427,"none"
"282","APC11_Control","APC11","Dolichandrone atrovirens",4629,"Control","clonal offspring",65,1.4,"13.83706505","78.41067833",511.654541,"none"
"283","APC7_CPFA","APC7","Cassia fistula",3749,"CPFA","clonal offspring",65,1.4,"13.94282288","78.50789166",408,"none"
"284","APC7_CPFA","APC7","Chloroxylon swietenia",3733,"CPFA","seedling recruitment",65,1.5,"13.94281189","78.50777818",407,"none"
